CELL_PARAMETERS angstrom
20.5103055801585690  0.0000000000000000  0.0947411230257034
0.0000000000000000  20.8609171474630628  0.0000000000000000
-3.6106018498087891  0.0000000000000000  20.8585173496099259

ATOMIC_POSITIONS angstrom
Zr    -438553.8085569170070812  -543280.1570566503796726  286518.7324757020687684
Zr    -438553.6715919439448044  -543279.3267175994114950  286519.9923683391534723
Zr    -438552.4253739102277905  -543280.9669509121449664  286518.4862821020651609
Zr    -438553.2039323957869783  -543279.7152609768090770  286519.3518590038293041
O    -438553.7246996372705325  -543281.1003327894723043  286519.4460569333168678
O    -438551.8833899346645921  -543279.6691726478748024  286520.2181734442128800
O    -438552.9153810052084737  -543279.9667759238509461  286519.9017995921894908
O    -438553.8298972995835356  -543279.3117454294115305  286520.5524632330052555
O    -438553.6530760856694542  -543278.5242873656097800  286519.8508576890453696
O    -438553.1491298361797817  -543279.7353631139267236  286519.1451069535687566
O    -438554.7287024633260444  -543279.4164944861549884  286517.3463862776989117
O    -438552.4252539410372265  -543277.7618642989546061  286518.3602387096034363
Zr    22257.1014441516781517  -650241.3606646878179163  -26906.0152561204085941
Zr    22257.0441324138373602  -650243.0055896948324516  -26905.8007269403024111
Zr    22258.0425145688495832  -650241.3653440299676731  -26906.0735193407163024
Zr    22256.9727640528544725  -650243.3261944870464504  -26905.6063747328880709
O    22258.1805373011593474  -650242.4535387015203014  -26904.7284228362404974
O    22257.1355835610011127  -650241.4627714984817430  -26905.0141171101058717
O    22256.0989416672418884  -650243.4634105359436944  -26905.1526711113401689
O    22255.9812246846631751  -650242.2025339696556330  -26907.0617591833251936
O    22255.9795666368299862  -650243.1651635185116902  -26904.7029271949395479
O    22257.1643308968232304  -650241.6370543671073392  -26907.7109979786182521
O    22256.2664008253232168  -650242.3247860802803189  -26904.9880551620990445
O    22256.5990646247191762  -650242.4723951736232266  -26905.8061458257107006
Zr    676737.4450210299110040  440318.2365866000181995  -1065226.1535655560437590
Zr    676737.3888753172941506  440316.4436752681504004  -1065225.6138304048217833
Zr    676738.2783565173158422  440317.0551421759300865  -1065223.6723379830364138
Zr    676736.9845212773652747  440315.6020056497654878  -1065223.2785678829532117
O    676738.2684002652531490  440316.5444590007537045  -1065224.8622222607955337
O    676736.7680253679864109  440318.6170989921665750  -1065223.7402769080363214
O    676736.8736491168383509  440317.6764198067248799  -1065224.7117512451950461
O    676739.0556349949911237  440317.8897687399294227  -1065226.2697431254200637
O    676738.2167851589620113  440315.9903593563358299  -1065224.5667098001576960
O    676738.4614327251911163  440318.4773078048601747  -1065226.0914669069461524
O    676737.3789330939762294  440317.0328712803893723  -1065223.4528155915904790
O    676738.8174635206814855  440319.0274350806721486  -1065224.4197965955827385
Zr    463511.2382516822544858  -178955.2386802289693151  178243.2662837977986783
Zr    463508.8697193315019831  -178954.8631244169082493  178242.7528358606796246
Zr    463509.5714658629731275  -178956.1799223492853343  178243.9568889268266503
Zr    463510.1420496271457523  -178955.4577892833040096  178244.1051004758337513
O    463509.7799778621410951  -178957.4359932947554626  178245.6053445042634849
O    463508.8390842524240725  -178954.2325776982470416  178245.1489292930345982
O    463509.3122055347193964  -178955.0814031740592327  178243.6827408762765117
O    463510.1955633623874746  -178954.9351887204975355  178244.6516706343390979
